pos1_x,pos1_y,pos1_z,han1_x,han1_y,han1_z,han2_x,han2_y,han2_z,pos2_x,pos2_y,pos2_z,pt,phi,eta,charge,chi2,ndof
-0.0458615,-0.0178816,-0.0801898,-0.22622471353940637,-0.07804637601182549,-0.21829437647902547,-0.6464265095201491,0.11981767268392149,-0.528848254430829,-0.707525,0.299278,-0.667717,0.611956,-2.72601,-0.674125,1,17.8088,14
0.0385542,-0.0268309,-0.171123,0.2143417649899042,-0.16483050401524024,-0.7846143264449407,0.2431148723620459,-0.6813751211984929,-2.03854351730124,0.08651,-0.844742,-2.651,0.620195,-0.58027,-1.73461,1,41.5462,43
0.0407146,-0.0234786,-0.0418253,0.20086715115170828,-0.12650910302798873,-0.033179847743214884,0.30896973547340245,-0.6071475778374739,-0.011080803894702543,0.205398,-0.766932,-0.00209737,0.625267,-0.487137,0.0453837,1,1.15872,9
0.0400609,-0.0248367,0.110552,0.20705933323830644,-0.1263984477315777,0.760768106933775,0.5924461032751841,-0.2105215764984538,2.0659490179479425,0.784647,-0.193032,2.7169,1.38443,-0.584706,1.91698,-1,29.9413,43
0.0433653,0.0066764,-0.0150708,0.2964046306782395,0.048138298358643236,0.15657919172345372,0.7822208152344492,0.23832811481831762,0.5037979596894187,0.995534,0.380321,0.675691,2.78863,0.144816,0.627438,-1,16.647,18
0.0326439,0.0190064,-0.0828187,0.271612493599954,0.15418823509095322,-0.3719028126922337,0.8893677801072972,0.05298572234063173,-0.9923447361765403,1.07034,-0.153509,-1.28141,0.96256,0.558635,-0.918302,1,10.14,14
0.032843,0.0271039,-0.0131863,0.04254228332212896,0.03620399232726238,-0.0034208613084717905,0.060884660835790985,0.0555440499195736,0.01609691918439691,0.0694734,0.0657307,0.0258292,0.522504,0.662073,0.680499,-1,1.01708,1
0.00483711,0.0417324,-0.028045,0.038251139607488105,0.31075556753330014,0.07448675525510666,0.6172524489996254,0.714054806570055,0.329788323697227,0.879083,0.646723,0.434258,0.825821,1.50507,0.369739,1,10.6563,16
-0.000710212,0.0417496,0.055738,-0.004803078633487965,0.2227099756712503,0.4891080029507491,0.08428508348446706,0.580699191865405,1.358491137800178,0.174376,0.738082,1.79172,1.5303,1.62452,1.60722,1,35.2643,30
-0.0150636,0.0404134,0.0834398,-0.09979037473108872,0.24055020635312424,0.7198838658034976,-0.4491149649852526,0.5272942841104956,2.002443006100534,-0.657697,0.577678,2.63982,1.06286,1.92465,1.79557,-1,33.6196,45
-0.024067,0.0314131,0.0212919,-0.17589460659475523,0.22483272387528977,0.42107715466611556,-0.41639602316245433,0.6584835155606822,1.2220819361242878,-0.499079,0.890707,1.62149,3.53927,2.24923,1.26261,1,24.7731,18
-0.0306388,0.0259937,0.0794775,-0.19654455376764554,0.16578869071202978,0.7315225939679129,-0.4253216653773092,0.5453107773994491,2.0401530869118822,-0.471622,0.75661,2.69241,1.49681,2.47256,1.82019,1,39.1544,43
-0.0307118,0.0259094,0.0533756,-0.06967894142950887,0.056727937433028966,0.1718415865806918,-0.1531704827713554,0.11077506614156317,0.4089102809558507,-0.197077,0.133896,0.527401,1.24511,2.43498,1.60347,-1,5.18935,3
-0.0318196,0.0248845,-0.151357,-0.11706692212965616,0.08985167662165597,-0.43231390866402686,-0.28896468950559445,0.21792592852269826,-0.9942322833993197,-0.375626,0.280991,-1.27519,22.1908,2.48828,-1.69137,-1,19.8455,19
-0.0382041,0.0252274,0.0789602,-0.24650963667195147,0.14850219973515053,0.7231758653720044,-0.7604463886280987,0.009568965276177482,2.046007824873393,-0.874137,-0.198096,2.69219,0.702805,2.53163,1.7056,-1,26.2499,39
-0.00717092,0.037535,0.102832,-0.0391515304594206,0.20803234634183654,0.7466634514037389,0.03717901067813982,0.5560621321237506,2.0388525141321736,0.134943,0.698973,2.68277,1.00278,1.79984,2.02225,1,23.0933,45
-0.0169702,0.0397725,0.217045,-0.05131430577985363,0.10570570427893648,0.6731845770366922,-0.1569044829587072,0.2124670660760353,1.5861412492012728,-0.220375,0.250229,2.04236,0.609142,1.96936,2.51385,-1,13.6124,9
-0.0223214,0.0378336,0.182471,-0.05435495984427466,0.089069661597211,0.4899903138952699,-0.13881614613226342,0.17825881298809224,1.1051615615791193,-0.18975,0.212707,1.41247,0.642152,2.05085,2.32978,-1,14.0705,5
